Start Year,Month,Day,Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year Uncertainty,Start Day Modifier,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
1967,11,5,332010,Kilauea,10101,Confirmed Eruption,Halemaumau,0.0,,,,,,Historical Observations,,1968.0,,7.0,,13.0,,19.421,-155.287
1967,11,16,300130,Karymsky,19183,Confirmed Eruption,,1.0,,,,,15.0,Historical Observations,,1967.0,,11.0,,16.0,15.0,54.049,159.44299999999998
1967,11,25,282020,Io-Torishima,16919,Confirmed Eruption,,1.0,,,,,5.0,Historical Observations,,,,,,,,27.881,128.22299999999998
1967,11,29,267020,Karangetang,16525,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1967.0,,12.0,,2.0,,2.781,125.40700000000001
1967,12,4,390030,Deception Island,13193,Confirmed Eruption,"North side (Telefon Bay, Yelcho I)",3.0,,,,,,Historical Observations,,1967.0,,12.0,,7.0,,-63.001000000000005,-60.652
1967,12,6,313030,Redoubt,20389,Confirmed Eruption,North end of summit crater (2300 m),3.0,,,,,,Historical Observations,,1968.0,,4.0,>,28.0,,60.485,-152.74200000000002
1967,12,11,263280,Kelut,15424,Confirmed Eruption,Crater floor at foot of Kelut Peak,1.0,,,,,,Historical Observations,,1967.0,,12.0,,11.0,,-7.93,112.30799999999999
1967,12,23,284120,Ioto,18409,Confirmed Eruption,West side (Asodai),1.0,,,,,,Historical Observations,,1967.0,,12.0,,23.0,,24.750999999999998,141.289
1967,7,16,263090,Tangkuban Parahu,15681,Confirmed Eruption,Kawah Ecoma,1.0,,,,,15.0,Historical Observations,,1967.0,,7.0,,16.0,15.0,-6.77,107.6
1967,10,16,300240,Tolbachik,19318,Confirmed Eruption,,2.0,,,,,15.0,Historical Observations,,1967.0,,11.0,,16.0,15.0,55.832,160.326
1967,7,8,222120,"Lengai, Ol Doinyo",14020,Confirmed Eruption,North Crater,3.0,,,,,,Historical Observations,,1967.0,,9.0,,4.0,,-2.764,35.914
1967,1,27,257050,Lopevi,15307,Confirmed Eruption,Summit and NW flank,3.0,,,,,,Historical Observations,,1969.0,,3.0,,31.0,,-16.507,168.34599999999998
1967,7,2,264040,Tambora,16234,Confirmed Eruption,NE part of caldera floor,0.0,,,20.0,,182.0,Historical Observations,,,,,,,,-8.25,118.0
1967,1,1,345040,Poas,11169,Confirmed Eruption,,1.0,,,,,,Historical Observations,,,,,,,,10.2,-84.23299999999999
1967,7,2,221080,Erta Ale,13935,Confirmed Eruption,,0.0,,<,,,182.0,Historical Observations,>,2020.0,,2.0,,20.0,,13.6,40.67
1967,1,12,263250,Merapi,15914,Confirmed Eruption,Upper Batang breach (2600 m),2.0,,,,,,Historical Observations,?,1970.0,,7.0,,2.0,182.0,-7.54,110.446
1967,1,16,290380,Ebeko,18871,Confirmed Eruption,Northern crater,1.0,,,,,15.0,Historical Observations,,1967.0,,4.0,?,16.0,15.0,50.68600000000001,156.014
1967,1,19,252010,Langila,14993,Confirmed Eruption,"Crater 2, Crater 3",2.0,,,,,,Historical Observations,,1968.0,,6.0,,16.0,15.0,-5.525,148.42
1967,1,22,252120,Ulawun,15050,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1967.0,,12.0,,28.0,,-5.05,151.33
1967,1,28,311360,Shishaldin,20084,Confirmed Eruption,,2.0,,,,,,Historical Observations,,,,,,,,54.756,-163.97
1967,2,16,357040,Planchon-Peteroa,11944,Uncertain Eruption,Peteroa (1889-94 crater),1.0,?,,,,15.0,,,,,,,,,-35.223,-70.568
1967,2,18,263280,Kelut,15423,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1967.0,,2.0,,18.0,,-7.93,112.30799999999999
1967,3,16,300240,Tolbachik,19317,Confirmed Eruption,,2.0,,,,,15.0,Historical Observations,,1967.0,,5.0,,16.0,15.0,55.832,160.326
1967,1,5,343100,San Miguel,10860,Confirmed Eruption,,2.0,,,,,,Historical Observations,,,,,,,,13.434000000000001,-88.26899999999999
1967,4,16,261140,Marapi,15464,Confirmed Eruption,"Crater C, Bungsu Crater",1.0,,,,,15.0,Historical Observations,,1967.0,,7.0,,16.0,15.0,-0.38,100.47399999999999
1967,3,27,284140,Farallon de Pajaros,18494,Confirmed Eruption,SW of Uracas (Makhahnas seamount),0.0,,,,,,Hydrophonic,,1967.0,,4.0,,10.0,,20.546,144.893
1967,7,2,300260,Klyuchevskoy,19453,Confirmed Eruption,,1.0,,,,,182.0,Historical Observations,,,,,,,,56.056000000000004,160.642
1967,5,29,333060,Macdonald,10314,Confirmed Eruption,,0.0,,,,,,Hydrophonic,,1967.0,,5.0,,29.0,,-28.98,-140.25
1967,5,16,284010,Izu-Oshima,18234,Confirmed Eruption,Mihara-yama,1.0,,,,,15.0,Historical Observations,,1967.0,,8.0,,16.0,15.0,34.724000000000004,139.394
1967,5,16,282110,Asosan,17334,Confirmed Eruption,Naka-dake,1.0,,,,,15.0,Historical Observations,,1969.0,,12.0,,16.0,15.0,32.884,131.10399999999998
1967,7,1,284130,Fukutoku-Oka-no-Ba,17593,Uncertain Eruption,,0.0,,,,,,,,1967.0,,7.0,,1.0,,24.285,141.481
1967,4,26,290061,Unnamed,18749,Uncertain Eruption,17.5 km NW of Iturup Island,,,,,,,,,,,,,,,45.022,147.019
1967,4,23,223020,Nyamuragira,14066,Confirmed Eruption,North flank (Gakararanga),2.0,,,,,,Historical Observations,,1967.0,,5.0,,9.0,,-1.4080000000000001,29.2
1967,4,22,342090,Fuego,10724,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1967.0,,4.0,,24.0,,14.472999999999999,-90.88
1967,5,7,263180,Slamet,13402,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1967.0,,7.0,,16.0,15.0,-7.242000000000001,109.208
1968,7,16,266030,Soputan,13597,Confirmed Eruption,,1.0,,,,,15.0,Historical Observations,,1968.0,,8.0,,16.0,15.0,1.112,124.73700000000001
1968,8,16,255020,Bagana,15136,Confirmed Eruption,,2.0,,,,,15.0,Historical Observations,,1968.0,,8.0,,16.0,15.0,-6.1370000000000005,155.196
1968,7,18,282020,Io-Torishima,16920,Confirmed Eruption,,1.0,,,,,,Historical Observations,,1968.0,,7.0,,18.0,,27.881,128.22299999999998
1968,7,28,284010,Izu-Oshima,18236,Confirmed Eruption,Mihara-yama,1.0,,,,,,Historical Observations,,1968.0,,7.0,,28.0,,34.724000000000004,139.394
1968,7,29,345033,Arenal,11134,Confirmed Eruption,W flank & summit,3.0,,,,,,Historical Observations,,2010.0,,12.0,?,16.0,15.0,10.463,-84.70299999999999
1968,8,14,284130,Fukutoku-Oka-no-Ba,17595,Uncertain Eruption,,0.0,,,,,,,,1968.0,,8.0,,20.0,,24.285,141.481
1968,8,16,284110,Kita-Ioto,18381,Uncertain Eruption,Funka-Asane,0.0,,,,,15.0,,,1968.0,,8.0,,16.0,15.0,25.424,141.284
1968,8,16,267040,Awu,16568,Uncertain Eruption,,2.0,,,,,15.0,,,1968.0,,9.0,,16.0,15.0,3.6889999999999996,125.447
1968,8,18,241080,Tongariro,14599,Confirmed Eruption,Ngauruhoe,2.0,,,,,,Historical Observations,,,,,,,,-39.157,175.632
1968,10,23,344070,"Negro, Cerro",10962,Confirmed Eruption,Summit and south flank,3.0,,,,,,Historical Observations,,1968.0,,12.0,,10.0,,12.505999999999998,-86.70200000000001
1968,9,5,267030,Banua Wuhu,16551,Uncertain Eruption,,0.0,,,,,,,,1968.0,,9.0,,9.0,4.0,3.138,125.491
1968,9,16,261160,Talang,15492,Confirmed Eruption,NE flank,2.0,,,,,15.0,Historical Observations,,1968.0,,10.0,,16.0,15.0,-0.9790000000000001,100.681
1968,9,16,284133,Fukujin,18094,Confirmed Eruption,,0.0,,,,,15.0,Historical Observations,,,,,,,,21.93,143.47
1968,10,7,332010,Kilauea,10103,Confirmed Eruption,East rift zone (730-915 m),0.0,,,,,,Historical Observations,,1968.0,,10.0,,22.0,,19.421,-155.287
1968,11,13,312160,Trident,20092,Confirmed Eruption,SW flank,3.0,,,,,,Historical Observations,,1968.0,,11.0,,13.0,,58.236000000000004,-155.1
1968,11,28,264180,Lewotobi,16294,Confirmed Eruption,Lewotobi Lakilaki,2.0,,,,,,Historical Observations,,1969.0,,2.0,,2.0,,-8.542,122.775
1968,12,16,261140,Marapi,15465,Uncertain Eruption,Craters B and C,1.0,,,,,15.0,,,1968.0,,12.0,,16.0,15.0,-0.38,100.47399999999999
1968,12,21,282050,Kuchinoerabujima,16974,Confirmed Eruption,Shindake,3.0,,,,,,Historical Observations,,1969.0,,3.0,,10.0,,30.443,130.217
1968,7,11,211050,Vulcano,13483,Discredited Eruption,,,,,,,,,,,,,,,,38.404,14.962
1968,8,22,332010,Kilauea,10102,Confirmed Eruption,East rift zone (580-885 m),0.0,,,,,,Historical Observations,,1968.0,,8.0,,26.0,,19.421,-155.287
1968,7,3,300260,Klyuchevskoy,19454,Confirmed Eruption,,3.0,,,,,,Historical Observations,,1968.0,,7.0,,3.0,,56.056000000000004,160.642
1968,6,12,353060,"Azul, Cerro",11727,Uncertain Eruption,North flank?,,,,,,,,,,,,,,,-0.92,-91.40799999999999
1968,7,2,257020,Gaua,15222,Confirmed Eruption,Mt. Garat (upper SE flank),2.0,,,,,182.0,Historical Observations,,1968.0,,12.0,,1.0,30.0,-14.27,167.5
1968,7,2,300240,Tolbachik,19319,Confirmed Eruption,,1.0,,,,,182.0,Historical Observations,,1969.0,,7.0,,2.0,182.0,55.832,160.326
1968,1,14,261160,Talang,15491,Confirmed Eruption,NE flank,1.0,,,,,,Historical Observations,,1968.0,,1.0,?,14.0,,-0.9790000000000001,100.681
1968,1,23,264010,Batur,16197,Confirmed Eruption,SW flank (Batur III),2.0,,,,,,Historical Observations,,1968.0,,2.0,,15.0,,-8.242,115.375
1968,1,27,241040,White Island,14481,Confirmed Eruption,Rudolf vent (back wall of 1933 crater),3.0,,,,,,Historical Observations,,1969.0,,2.0,,16.0,15.0,-37.52,177.18
1968,1,31,273070,Taal,16856,Confirmed Eruption,SW flank (near Mt. Tabaro),2.0,,,,,,Historical Observations,,1968.0,,4.0,,2.0,,14.002,120.993
1968,2,3,261170,Kerinci,15518,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1968.0,,3.0,,18.0,,-1.6969999999999998,101.264
1968,2,9,284130,Fukutoku-Oka-no-Ba,17594,Uncertain Eruption,,0.0,,,,,,,,1968.0,,2.0,,9.0,,24.285,141.481
1968,2,16,290070,Etorofu-Yakeyama [Grozny Group],18750,Confirmed Eruption,Ivan Grozny,1.0,,,,,15.0,Historical Observations,,1968.0,,2.0,,16.0,15.0,45.012,147.871
1968,3,16,251050,Long Island,14962,Confirmed Eruption,Motmot,2.0,,,,,,Historical Observations,,1968.0,,6.0,,12.0,,-5.358,147.12
1968,1,19,284010,Izu-Oshima,18235,Confirmed Eruption,Mihara-yama,1.0,,,,,,Historical Observations,,1968.0,,1.0,,19.0,,34.724000000000004,139.394
1968,4,21,273030,Mayon,16803,Confirmed Eruption,,3.0,,,,,,Historical Observations,,1968.0,,5.0,,20.0,,13.257,123.685
1968,4,6,241100,Ruapehu,14635,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1968.0,,6.0,,10.0,,-39.28,175.57
1968,7,2,345040,Poas,11170,Confirmed Eruption,,1.0,,,,,182.0,Historical Observations,,,,,,,,10.2,-84.23299999999999
1968,1,7,211060,Etna,13797,Confirmed Eruption,SE flank (2550 m),0.0,,,,,,Historical Observations,,1968.0,,5.0,,4.0,,37.748000000000005,14.999
1968,6,11,353010,Fernandina,11666,Confirmed Eruption,West caldera wall,4.0,,,,,,Historical Observations,,1968.0,,7.0,<,4.0,,-0.37,-91.55
1968,7,2,357010,Tupungatito,14112,Confirmed Eruption,,2.0,,,,,182.0,Historical Observations,,,,,,,,-33.425,-69.797
1968,5,23,373050,Kverkfjoll,12903,Confirmed Eruption,,0.0,,,,,,Historical Observations,,1968.0,,6.0,,16.0,15.0,64.653,-16.647000000000002
1968,5,21,353010,Fernandina,11665,Confirmed Eruption,ESE flank (600 m),2.0,,,,,,Historical Observations,,1968.0,,5.0,,23.0,1.0,-0.37,-91.55
1968,5,7,265060,Nila,16382,Confirmed Eruption,East flank,1.0,,,,,,Historical Observations,,1968.0,,6.0,,16.0,15.0,-6.73,129.5
1968,6,3,264140,Kelimutu,16263,Confirmed Eruption,Tiwu Nua Muri,1.0,,,,,,Historical Observations,,1968.0,,7.0,,29.0,,-8.77,121.82
1969,7,16,222120,"Lengai, Ol Doinyo",14021,Uncertain Eruption,,,,,,?,15.0,,,,,,,,,-2.764,35.914
1969,9,16,300260,Klyuchevskoy,19455,Confirmed Eruption,,2.0,,,,,15.0,Historical Observations,,1969.0,,12.0,,16.0,15.0,56.056000000000004,160.642
1969,7,20,263090,Tangkuban Parahu,15682,Confirmed Eruption,Kawah Ecoma,1.0,,,,,,Historical Observations,,1969.0,,10.0,,21.0,,-6.77,107.6
1969,8,16,241040,White Island,14482,Confirmed Eruption,Rudolf vent,2.0,,,,,15.0,Historical Observations,,1969.0,,9.0,,16.0,15.0,-37.52,177.18
1969,8,16,315020,Wrangell,20418,Uncertain Eruption,West Crater,1.0,,,,,15.0,Historical Observations,,,,,,,,62.006,-144.017
1969,9,11,311020,Kiska,19665,Confirmed Eruption,,2.0,?,,,,,Historical Observations,,1969.0,,9.0,,16.0,,52.103,177.602
1969,9,20,345020,Rincon de la Vieja,11078,Confirmed Eruption,,2.0,,,,,,Historical Observations,,1969.0,,10.0,,16.0,,10.83,-85.324
